R,Host,Drought,Fungi,Salinity,Treatment code,Protein,POX,CAT,SOD,Proline
97,Cucumis sativus,Drought1,Periconia macrospinosa,salinity1,PMD1S1,24.5856,0.098645912,0.098458485,0.55453864,8.0219617
98,Cucumis sativus,Drought1,Periconia macrospinosa,salinity2,PMD1S2,22.0896,0.164404065,0.164091697,0.743503439,11.128514
99,Cucumis sativus,Drought1,Periconia macrospinosa,salinity3,PMD1S3,19.2672,0.245277878,0.24481185,1.1126279,11.716744
100,Cucumis sativus,Drought1,Neocamarosporium chichastianum,salinity1,NCD1S1,27.7152,0.110062659,0.10985354,0.55032604,7.41768
101,Cucumis sativus,Drought1,Neocamarosporium chichastianum,salinity2,NCD1S2,26.3328,0.134198529,0.133943552,0.6035051,8.618068
102,Cucumis sativus,Drought1,Neocamarosporium chichastianum,salinity3,NCD1S3,25.44,0.144850682,0.144575466,0.76095604,9.744678
103,Cucumis sativus,Drought1,Neocamarosporium goegapense,salinity1,NGD1S1,28.3296,0.101734623,0.101541327,0.55249252,7.622065
104,Cucumis sativus,Drought1,Neocamarosporium goegapense,salinity2,NGD1S2,27.1008,0.122973931,0.122740281,0.61720608,8.439605
105,Cucumis sativus,Drought1,Neocamarosporium goegapense,salinity3,NGD1S3,25.9584,0.14538173,0.145105505,0.7895616,9.744678
106,Cucumis sativus,Drought1,Control,salinity1,COD1S1,23.9424,0.055691677,0.055585863,0.528581,6.436632
107,Cucumis sativus,Drought1,Control,salinity2,COD1S2,19.3824,0.106348095,0.106146034,0.7430224,9.855345
108,Cucumis sativus,Drought1,Control,salinity3,COD1S3,15.1584,0.133684535,0.133430534,0.8901625,10.7300131
109,Cucumis sativus,Drought2,Periconia macrospinosa,salinity1,PMD2S1,21.0144,0.162591595,0.162282671,1.1197492,11.81445
110,Cucumis sativus,Drought2,Periconia macrospinosa,salinity2,PMD2S2,18.5952,0.230545843,0.230107806,1.17214592,12.70178
111,Cucumis sativus,Drought2,Periconia macrospinosa,salinity3,PMD2S3,14.4672,0.311775819,0.311183445,1.36355844,14.723696
112,Cucumis sativus,Drought2,Neocamarosporium chichastianum,salinity1,NCD2S1,26.592,0.115888194,0.115668006,0.78948136,8.734717
113,Cucumis sativus,Drought2,Neocamarosporium chichastianum,salinity2,NCD2S2,22.2336,0.169610346,0.169288086,0.866592,9.738696
114,Cucumis sativus,Drought2,Neocamarosporium chichastianum,salinity3,NCD2S3,18.336,0.218003717,0.21758951,0.9636824,10.591131
115,Cucumis sativus,Drought2,Neocamarosporium goegapense,salinity1,NGD2S1,26.8608,0.120598461,0.120369324,0.811427,8.478488
116,Cucumis sativus,Drought2,Neocamarosporium goegapense,salinity2,NGD2S2,23.5968,0.172108374,0.171781368,0.962412602,9.732714
117,Cucumis sativus,Drought2,Neocamarosporium goegapense,salinity3,NGD2S3,18.9216,0.223170597,0.222746573,1.0354972,11.140478
118,Cucumis sativus,Drought2,Control,salinity1,COD2S1,19.1616,0.105499442,0.105298993,0.915245524,10.4327077
119,Cucumis sativus,Drought2,Control,salinity2,COD2S2,15.1392,0.156903912,0.156605795,1.0947745,11.71914677
120,Cucumis sativus,Drought2,Control,salinity3,COD2S3,10.08,0.180819358,0.180475801,1.2142318,12.8345804
121,Cucumis sativus,Drought3,Periconia macrospinosa,salinity1,PMD3S1,19.1232,0.249030541,0.248557383,1.3544512,13.333878
122,Cucumis sativus,Drought3,Periconia macrospinosa,salinity2,PMD3S2,14.4864,0.318934444,0.318328469,1.66231202,14.5815238
123,Cucumis sativus,Drought3,Periconia macrospinosa,salinity3,PMD3S3,12.1344,0.395207312,0.394456418,2.0615662,18.9204678
124,Cucumis sativus,Drought3,Neocamarosporium chichastianum,salinity1,NCD3S1,25.1328,0.117921467,0.117697416,0.8774244,9.7249374
125,Cucumis sativus,Drought3,Neocamarosporium chichastianum,salinity2,NCD3S2,19.92,0.17478252,0.174450433,1.1889562,11.610065
126,Cucumis sativus,Drought3,Neocamarosporium chichastianum,salinity3,NCD3S3,17.7504,0.234866511,0.234420265,1.8202444,20.711678
127,Cucumis sativus,Drought3,Neocamarosporium goegapense,salinity1,NGD3S1,24.4704,0.125237475,0.124999524,0.75512861,10.613065
128,Cucumis sativus,Drought3,Neocamarosporium goegapense,salinity2,NGD3S2,20.1216,0.18868113,0.188322636,1.1977826,11.01060878
129,Cucumis sativus,Drought3,Neocamarosporium goegapense,salinity3,NGD3S3,17.9904,0.245955402,0.245488087,1.86090602,19.385668
130,Cucumis sativus,Drought3,Control,salinity1,COD3S1,14.1792,0.151567842,0.151279863,1.08412264,12.735678
131,Cucumis sativus,Drought3,Control,salinity2,COD3S2,9.0624,0.209432055,0.209034134,1.27122226,12.406668
132,Cucumis sativus,Drought3,Control,salinity3,COD3S3,5.9712,0.230429955,0.229992138,1.455353,15.726678
133,Cucumis sativus,Drought4,Periconia macrospinosa,salinity1,PMD4S1,12.3456,0.321023341,0.320413397,1.714650566,14.192295
134,Cucumis sativus,Drought4,Periconia macrospinosa,salinity2,PMD4S2,9.6,0.391624246,0.39088016,2.0102126,17.698744
135,Cucumis sativus,Drought4,Periconia macrospinosa,salinity3,PMD4S3,7.5552,0.455201312,0.45433643,2.23556664,21.8318075
136,Cucumis sativus,Drought4,Neocamarosporium chichastianum,salinity1,NCD4S1,14.9952,0.250908167,0.250431441,1.6571566,11.71947578
137,Cucumis sativus,Drought4,Neocamarosporium chichastianum,salinity2,NCD4S2,13.152,0.32476752,0.324150462,1.96511772,16.6036392
138,Cucumis sativus,Drought4,Neocamarosporium chichastianum,salinity3,NCD4S3,11.424,0.394850511,0.394100295,2.129369,23.68317668
139,Cucumis sativus,Drought4,Neocamarosporium goegapense,salinity1,NGD4S1,16.2528,0.255099488,0.254614799,1.59989533,12.735678
140,Cucumis sativus,Drought4,Neocamarosporium goegapense,salinity2,NGD4S2,13.6128,0.32466753,0.324050662,1.9664818,16.7129104
141,Cucumis sativus,Drought4,Neocamarosporium goegapense,salinity3,NGD4S3,12.288,0.395940402,0.395188115,2.25963864,22.9749677
142,Cucumis sativus,Drought4,Control,salinity1,COD4S1,5.7984,0.200162982,0.199782672,1.5059042,13.701771
143,Cucumis sativus,Drought4,Control,salinity2,COD4S2,4.6272,0.251119886,0.250642758,1.7636752,13.5636865
144,Cucumis sativus,Drought4,Control,salinity3,COD4S3,4.5312,0.286424355,0.285880149,1.78609225,16.8567775
