R,Host,Drought,fungi,Salinity,Treatment code,Protein,POX,CAT,SOD,Proline
124,Solanum lycopersicum,Drought3,Neocamarosporium chichastianum,salinity1,NCD3S1,18.8199,0.147637393,0.132065713,0.8930104,14.606658
125,Solanum lycopersicum,Drought3,Neocamarosporium chichastianum,salinity2,NCD3S2,17.127,0.1844304,0.15560658,1.1131692,17.3745
126,Solanum lycopersicum,Drought3,Neocamarosporium chichastianum,salinity3,NCD3S3,15.048,0.37414022,0.252158614,2.34478104,30.07026
127,Solanum lycopersicum,Drought3,Neocamarosporium goegapense,salinity1,NGD3S1,18.909,0.1409675,0.13047167,0.8530904,14.49855
128,Solanum lycopersicum,Drought3,Neocamarosporium goegapense,salinity2,NGD3S2,16.9785,0.1983026,0.151167245,1.1918116,17.4673026
129,Solanum lycopersicum,Drought3,Neocamarosporium goegapense,salinity3,NGD3S3,15.0777,0.36524804,0.252993113,2.39054932,30.43656
130,Solanum lycopersicum,Drought3,Control,salinity1,COD3S1,13.6323,0.18545834,0.163165042,1.22841824,16.60626
131,Solanum lycopersicum,Drought3,Control,salinity2,COD3S2,9.5139,0.250950094,0.192432471,1.66408516,19.94256
132,Solanum lycopersicum,Drought3,Control,salinity3,COD3S3,6.7518,0.302846094,0.212026708,1.9242438,22.54626
133,Solanum lycopersicum,Drought4,Periconia macrospinosa,salinity1,PMD4S1,13.7214,0.318417336,0.286368076,1.855802956,26.96265
134,Solanum lycopersicum,Drought4,Periconia macrospinosa,salinity2,PMD4S2,11.583,0.383198408,0.30401748,2.5490916,32.348448
135,Solanum lycopersicum,Drought4,Periconia macrospinosa,salinity3,PMD4S3,10.2861,0.484276343,0.353297894,2.9129624,36.528525
136,Solanum lycopersicum,Drought4,Neocamarosporium chichastianum,salinity1,NCD4S1,16.7508,0.277377393,0.241306129,1.7486956,25.4971926
137,Solanum lycopersicum,Drought4,Neocamarosporium chichastianum,salinity2,NCD4S2,15.147,0.3141704,0.26524076,2.40442152,30.545064
138,Solanum lycopersicum,Drought4,Neocamarosporium chichastianum,salinity3,NCD4S3,13.464,0.45398022,0.323052052,2.8236414,34.4068956
139,Solanum lycopersicum,Drought4,Neocamarosporium goegapense,salinity1,NGD4S1,16.7607,0.26958475,0.243069071,1.71157,25.51626
140,Solanum lycopersicum,Drought4,Neocamarosporium goegapense,salinity2,NGD4S2,15.2361,0.31623626,0.264351294,2.4456988,30.158568
141,Solanum lycopersicum,Drought4,Neocamarosporium goegapense,salinity3,NGD4S3,13.563,0.46504804,0.329323287,2.84717424,33.703659
142,Solanum lycopersicum,Drought4,Control,salinity1,COD4S1,10.4346,0.22537834,0.193549001,1.4584772,18.55557
143,Solanum lycopersicum,Drought4,Control,salinity2,COD4S2,7.7418,0.2808871,0.221421667,1.8846232,24.160455
144,Solanum lycopersicum,Drought4,Control,salinity3,COD4S3,5.6628,0.32388094,0.241408068,2.0965485,25.351425
